代码,名称,日期,周收益(%),近一月(%),近三月(%),近半年(%),近一年(%),总收益(%),净值
159173,南方中证全指农牧渔ETF,2026-04-29,-0.58,-0.59,-1.21,-0.59,-0.59,-0.59,0.99
516610,医服ETF,2026-04-29,-0.96,-0.61,0.66,-7.43,-8.35,-52.68,0.47
159891,建信中证全指医疗保健设备与服务ETF,2026-04-29,-0.95,-0.61,0.50,-7.60,-8.36,-57.47,0.43
560390,易方达恒生A股电网设备ETF,2026-04-29,-3.18,-0.63,5.33,-0.63,-0.63,-0.63,0.99
159718,平安中证港股医药ETF,2026-04-29,-4.46,-0.64,0.38,-9.08,-10.80,-13.03,0.87
513550,华泰柏瑞中证港股通50ETF,2026-04-29,-0.30,-0.65,4.58,-7.77,-3.32,15.46,1.15
159711,华夏中证港股通50ETF,2026-04-29,-0.31,-0.70,4.52,-7.74,-3.42,37.14,1.37
159022,富国中证科创创业人工智能ETF,2026-04-29,-0.72,-0.71,-0.71,-0.71,-0.71,-0.71,0.99
159712,国泰中证港股通50ETF,2026-04-29,-0.30,-0.71,4.52,-7.69,-3.43,27.33,1.27
560130,鹏华中证全指食品ETF,2026-04-29,1.99,-0.72,3.39,-1.71,-0.84,-0.84,0.99
516370,汇添富中证全指电力公用事业ETF,2026-04-29,0.26,-0.77,-0.60,-0.77,-0.77,-0.77,0.99
159787,易方达中证全指建筑材料ETF,2026-04-29,-0.85,-0.78,-0.91,-12.43,-0.84,-29.10,0.71
516790,华泰柏瑞中证全指医疗保健设备与服务ETF,2026-04-29,-0.97,-0.80,0.46,-7.62,-8.26,-43.06,0.57
516750,富国中证全指建筑材料ETF,2026-04-29,-0.86,-0.80,-0.83,-12.43,-1.14,-29.49,0.71
159666,华夏中证全指运输ETF,2026-04-29,-0.82,-0.84,-0.91,-0.87,-1.81,1.36,1.01
159399,国泰富时中国A股自由现金流聚焦ETF,2026-04-29,0.64,-0.86,0.84,-6.91,-0.71,16.55,1.13
